rundate,reporting_period,airport_name,this_year_pax,this_year_total_pax_UK_airports,last_year_pax,last_year_total_pax_UK_airports
16/05/2023 10:22,202303,HEATHROW,68844294,243198616,27369976,92064995
16/05/2023 10:22,202303,GATWICK,36485004,243198616,9915369,92064995
16/05/2023 10:22,202303,STANSTED,25482067,243198616,10271113,92064995
16/05/2023 10:22,202303,MANCHESTER,25206266,243198616,9124284,92064995
16/05/2023 10:22,202303,LUTON,14719032,243198616,6263505,92064995
16/05/2023 10:22,202303,EDINBURGH,12405650,243198616,4450603,92064995
16/05/2023 10:22,202303,BIRMINGHAM,10441203,243198616,3667618,92064995
16/05/2023 10:22,202303,BRISTOL,8570513,243198616,3098385,92064995
16/05/2023 10:22,202303,GLASGOW,6899659,243198616,2950533,92064995
16/05/2023 10:22,202303,BELFAST INTERNATIONAL,4943278,243198616,3122825,92064995
16/05/2023 10:22,202303,NEWCASTLE,4442270,243198616,1468226,92064995
16/05/2023 10:22,202303,LIVERPOOL (JOHN LENNON),3771035,243198616,1636420,92064995
16/05/2023 10:22,202303,LEEDS BRADFORD,3553358,243198616,1066589,92064995
16/05/2023 10:22,202303,LONDON CITY,3361385,243198616,1087776,92064995
16/05/2023 10:22,202303,EAST MIDLANDS INTERNATIONAL,3327416,243198616,1140099,92064995
16/05/2023 10:22,202303,ABERDEEN,2093019,243198616,1274005,92064995
16/05/2023 10:22,202303,BELFAST CITY (GEORGE BEST),1850372,243198616,1018989,92064995
16/05/2023 10:22,202303,CARDIFF WALES,908270,243198616,186070,92064995
16/05/2023 10:22,202303,DONCASTER SHEFFIELD,852347,243198616,403696,92064995
16/05/2023 10:22,202303,BOURNEMOUTH,769113,243198616,284412,92064995
16/05/2023 10:22,202303,INVERNESS,747195,243198616,449163,92064995
16/05/2023 10:22,202303,SOUTHAMPTON,697743,243198616,346861,92064995
16/05/2023 10:22,202303,PRESTWICK,462780,243198616,118053,92064995
16/05/2023 10:22,202303,EXETER,403341,243198616,169946,92064995
16/05/2023 10:22,202303,NORWICH,344175,243198616,145076,92064995
16/05/2023 10:22,202303,NEWQUAY,270358,243198616,123048,92064995
16/05/2023 10:22,202303,SUMBURGH,252516,243198616,202003,92064995
16/05/2023 10:22,202303,TEESSIDE INTERNATIONAL AIRPORT,192353,243198616,83921,92064995
16/05/2023 10:22,202303,CITY OF DERRY (EGLINTON),168276,243198616,97458,92064995
16/05/2023 10:22,202303,KIRKWALL,127605,243198616,89622,92064995
16/05/2023 10:22,202303,HUMBERSIDE,107533,243198616,36267,92064995
16/05/2023 10:22,202303,STORNOWAY,103866,243198616,75250,92064995
16/05/2023 10:22,202303,SOUTHEND,89582,243198616,93920,92064995
16/05/2023 10:22,202303,ISLES OF SCILLY (ST.MARYS),86159,243198616,78594,92064995
16/05/2023 10:22,202303,LANDS END (ST JUST),63247,243198616,58635,92064995
16/05/2023 10:22,202303,DUNDEE,38626,243198616,25267,92064995
16/05/2023 10:22,202303,BENBECULA,31091,243198616,24192,92064995
16/05/2023 10:22,202303,ISLAY,27202,243198616,16417,92064995
16/05/2023 10:22,202303,BARRA,12975,243198616,11814,92064995
16/05/2023 10:22,202303,BLACKPOOL,12707,243198616,0,92064995
16/05/2023 10:22,202303,TIREE,10996,243198616,9536,92064995
16/05/2023 10:22,202303,WICK JOHN O GROATS,9041,243198616,0,92064995
16/05/2023 10:22,202303,CAMPBELTOWN,6213,243198616,3468,92064995
16/05/2023 10:22,202303,BIGGIN HILL,4493,243198616,2857,92064995
16/05/2023 10:22,202303,LERWICK (TINGWALL),2872,243198616,2552,92064995
16/05/2023 10:22,202303,OXFORD (KIDLINGTON),120,243198616,551,92064995
16/05/2023 10:22,202303,LYDD,0,243198616,31,92064995

