Position,Team,Played,Won,Drawn,Lost,For,Against,GD,Points
1,Chelsea,8,6,1,1,16,3,13,19
2,Liverpool,8,5,3,0,22,6,16,18
3,Man City,8,5,2,1,16,3,13,17
4,Brighton,8,4,3,1,8,5,3,15
5,Tottenham,8,5,0,3,9,12,-3,15
6,Man Utd,8,4,2,2,16,10,6,14
7,West Ham,8,4,2,2,15,10,5,14
8,Everton,8,4,2,2,13,9,4,14
9,Brentford,8,3,3,2,10,7,3,12
10,Wolves,8,4,0,4,8,8,0,12
11,Leicester,8,3,2,3,13,14,-1,11
12,Arsenal,8,3,2,3,7,12,-5,11
13,Aston Villa,8,3,1,4,12,12,0,10
14,Crystal Palace,8,1,5,2,10,13,-3,8
15,Southampton,8,1,4,3,6,10,-4,7
16,Watford,8,2,1,5,7,15,-8,7
17,Leeds,8,1,3,4,7,15,-8,6
18,Burnley,8,0,3,5,5,13,-8,3
19,Newcastle,8,0,3,5,10,19,-9,3
20,Norwich,8,0,2,6,2,16,-14,2
